MatchName,StrikerName,BatClubName,Inns,overs,x,y,X,Y,BatRuns,batwkts,BattingType,PaceOrSpin,1s,2s,3s,4s,6s,BowlerType,WagonWheel,0s
AusvsNZ,Kane Williamson,New Zealand,1,5.3,265,320,104,794,0,0,RHB,1,0,0,0,0,0,1,11,1
AusvsNZ,Kane Williamson,New Zealand,1,5.4,297,348,139,698,0,0,RHB,1,0,0,0,0,0,1,5,1
AusvsNZ,Kane Williamson,New Zealand,1,5.5,289,337,149,696,0,0,RHB,1,0,0,0,0,0,1,1,1
AusvsNZ,Kane Williamson,New Zealand,1,5.6,285,292,106,794,2,0,RHB,1,0,1,0,0,0,1,7,
AusvsNZ,Martin Guptill,New Zealand,1,6.1,294,388,172,405,1,0,RHB,2,1,0,0,0,0,3,1,
AusvsNZ,Kane Williamson,New Zealand,1,6.2,268,375,147,494,1,0,RHB,2,1,0,0,0,0,3,NULL,
AusvsNZ,Martin Guptill,New Zealand,1,6.3,304,362,193,554,0,0,RHB,2,0,0,0,0,0,3,6,1
AusvsNZ,Martin Guptill,New Zealand,1,6.4,259,365,152,505,1,0,RHB,2,1,0,0,0,0,3,18,
AusvsNZ,Kane Williamson,New Zealand,1,6.5,304,341,177,574,1,0,RHB,2,1,0,0,0,0,3,18,
AusvsNZ,Martin Guptill,New Zealand,1,6.6,303,377,177,521,1,0,RHB,2,1,0,0,0,0,3,19,
AusvsNZ,Martin Guptill,New Zealand,1,7.1,293,384,169,486,1,0,RHB,2,1,0,0,0,0,5,13,
AusvsNZ,Kane Williamson,New Zealand,1,7.2,250,339,100,593,1,0,RHB,2,1,0,0,0,0,5,23,
AusvsNZ,Martin Guptill,New Zealand,1,7.3,281,368,155,540,0,0,RHB,2,0,0,0,0,0,5,21,1
AusvsNZ,Martin Guptill,New Zealand,1,7.4,261,343,115,616,0,0,RHB,2,0,0,0,0,0,5,1,1
AusvsNZ,Martin Guptill,New Zealand,1,7.5,268,336,118,616,1,0,RHB,2,1,0,0,0,0,5,18,
AusvsNZ,Kane Williamson,New Zealand,1,7.6,264,371,131,393,0,0,RHB,2,0,0,0,0,0,5,8,1
AusvsNZ,Martin Guptill,New Zealand,1,8.1,264,374,109,582,1,0,RHB,1,1,0,0,0,0,1,23,
AusvsNZ,Kane Williamson,New Zealand,1,8.2,273,320,136,818,1,0,RHB,1,1,0,0,0,0,1,6,
