StrikerName,BatRuns,WagonWheel
Mohammad Rizwan,1,Point
Fakhar Zaman,5,Third Man
Fakhar Zaman,1,Mid Wicket
Mohammad Rizwan,1,Long Off
Fakhar Zaman,1,Square Leg
Mohammad Rizwan,0,Fine Leg
Mohammad Rizwan,2,Mid Wicket
Fakhar Zaman,1,Covers
Mohammad Rizwan,1,Long Off
Fakhar Zaman,1,Mid Wicket
Mohammad Rizwan,1,Square Leg
Fakhar Zaman,0,Third Man
Fakhar Zaman,1,Mid Wicket
Fakhar Zaman,0,Third Man
Fakhar Zaman,6,Long Off
Fakhar Zaman,2,Mid Wicket
Fakhar Zaman,1,Long Off
Mohammad Rizwan,5,Mid Wicket
Mohammad Rizwan,6,Mid Wicket
Mohammad Rizwan,1,Long Off
Mohammad Rizwan,0,Fine Leg
Mohammad Rizwan,0,Covers
Fakhar Zaman,6,Long On
Fakhar Zaman,2,Square Leg
Fakhar Zaman,4,Long Off
Fakhar Zaman,1,Third Man
Fakhar Zaman,2,Mid Wicket
Asif Ali,0,Long On
Fakhar Zaman,1,Long Off
Shoaib Malik,1,Point
Fakhar Zaman,0,Third Man
Fakhar Zaman,0,Third Man
Fakhar Zaman,1,Point
Fakhar Zaman,1,Long On
Shoaib Malik,0,NULL
Mohammad Hafeez,1,Fine Leg
Fakhar Zaman,6,Long On
Fakhar Zaman,6,Mid Wicket
Fakhar Zaman,1,Mid Wicket
David Warner,0,Third Man
David Warner,1,Long On
Aaron Finch,0,NULL
Mitchell Marsh,0,Third Man
Mitchell Marsh,0,Fine Leg
Mitchell Marsh,0,Long On
David Warner,0,Point
David Warner,1,Square Leg
Mitchell Marsh,0,Long On
Mitchell Marsh,1,Covers
David Warner,1,Third Man
Mitchell Marsh,2,Square Leg
David Warner,0,Covers
David Warner,2,Mid Wicket
Mitchell Marsh,0,Third Man
Mitchell Marsh,4,Covers
Mitchell Marsh,0,Fine Leg
Mitchell Marsh,1,Point
David Warner,0,Long Off
Mitchell Marsh,1,Covers
David Warner,6,Mid Wicket
David Warner,4,Covers
