MatchtypeId,CompName,date,matchid,battingclubid,overs,Phase3idStar,Phase3idStarPhrase,Phase4id,Phase4idPhrase,batruns,0s,1s,2s,3s,4s,6s,StrikerName,PaceorSpin,BowlingTypeGroup,Batwkts,LengthX,LengthY,HeightX,HeightY,StrikerBattingType,WWregion63,StrikerBattingType
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,6.2,2,7 to 15,2,7 to 10,4,0,0,0,0,1,0,Abhishek Sharma,1,1,0,187,725,338,320,2,17,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,6.3,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Sharma,1,1,0,174,889,340,294,2,11,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,6.4,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Aryan Anil Bhatia,1,1,0,154,670,290,347,1,11,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,6.5,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Sharma,1,1,0,174,719,331,328,2,3,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,6.6,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Aryan Anil Bhatia,1,1,0,184,703,351,333,1,1,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,7.1,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,202,582,330,342,2,21,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,7.2,2,7 to 15,2,7 to 10,0,0,0,0,0,0,0,Aryan Anil Bhatia,2,3,0,52,445,181,382,1,8,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,7.2,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Aryan Anil Bhatia,2,3,0,137,555,271,363,1,20,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,7.3,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Abhishek Sharma,2,3,0,234,418,359,369,2,1,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,7.4,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,232,560,348,338,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,7.5,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Aryan Anil Bhatia,2,3,0,138,577,270,331,1,15,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,7.6,2,7 to 15,2,7 to 10,4,0,0,0,0,1,0,Aryan Anil Bhatia,2,3,0,81,390,215,376,1,22,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,8.1,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,232,527,332,342,2,11,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,8.2,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Aryan Anil Bhatia,2,3,0,112,533,257,337,1,21,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,8.3,2,7 to 15,2,7 to 10,2,0,0,1,0,0,0,Abhishek Sharma,2,3,0,223,467,337,377,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,8.4,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Abhishek Sharma,2,3,0,256,401,360,368,2,1,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,8.5,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,269,505,365,355,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,8.6,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Aryan Anil Bhatia,2,3,1,129,456,264,379,1,20,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,9.1,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,186,533,307,370,2,3,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,9.2,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Kumar,2,3,0,123,434,253,367,1,20,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,9.3,2,7 to 15,2,7 to 10,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,218,577,342,339,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,9.4,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Abhishek Kumar,2,3,0,119,473,256,336,1,8,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,9.5,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Abhishek Kumar,2,3,0,154,549,282,340,1,4,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,9.6,2,7 to 15,2,7 to 10,0,1,0,0,0,0,0,Abhishek Kumar,2,3,0,140,555,265,352,1,8,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,10.1,2,7 to 15,3,11 to 16,1,0,1,0,0,0,0,Abhishek Sharma,2,3,0,229,505,344,349,2,19,2
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,10.2,2,7 to 15,3,11 to 16,4,0,0,0,0,1,0,Abhishek Kumar,2,3,0,132,571,270,343,1,22,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,10.3,2,7 to 15,3,11 to 16,4,0,0,0,0,1,0,Abhishek Kumar,2,3,0,122,516,255,339,1,22,1
13,Sher-E-Punjab T20 series 2024,18-06-2024,33250,4434,10.4,2,7 to 15,3,11 to 16,4,0,0,0,0,1,0,Abhishek Kumar,2,3,0,113,527,236,374,1,18,1
