MatchtypeId,CompName,date,matchid,battingclubid,overs,Phase3idStar,Phase3idStarPhrase,Phase4id,Phase4idPhrase,batruns,0s,1s,2s,3s,4s,6s,StrikerName,PaceorSpin,BowlingTypeGroup,Batwkts,LengthX,LengthY,HeightX,HeightY,StrikerBattingType,WWregion63,StrikerBattingType
3,AusvsNZ,18-06-2021,10213,5,15.3,2,7 to 15,3,11 to 16,6,,0,0,0,0,1,Kane Williamson,1,2,0,185,480,295,360,1,20,1
3,AusvsNZ,18-06-2021,10213,5,15.4,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Kane Williamson,1,2,0,89,222,205,383,1,20,1
3,AusvsNZ,18-06-2021,10213,5,15.5,2,7 to 15,3,11 to 16,4,,0,0,0,1,0,Kane Williamson,1,2,0,91,630,243,364,1,1,1
3,AusvsNZ,18-06-2021,10213,5,15.6,2,7 to 15,3,11 to 16,4,,0,0,0,1,0,Kane Williamson,1,2,0,80,759,259,319,1,3,1
3,AusvsNZ,18-06-2021,10213,5,16.1,3,16 to 20,4,17 to 20,0,1,0,0,0,0,0,Glenn Phillips,1,1,0,59,789,189,322,1,19,1
3,AusvsNZ,18-06-2021,10213,5,16.1,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,Glenn Phillips,1,1,0,85,834,250,317,1,1,1
3,AusvsNZ,18-06-2021,10213,5,16.2,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,Kane Williamson,1,1,0,88,800,225,325,1,15,1
3,AusvsNZ,18-06-2021,10213,5,16.3,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,Glenn Phillips,1,1,0,104,1100,275,256,1,8,1
3,AusvsNZ,18-06-2021,10213,5,16.4,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,Kane Williamson,1,1,0,56,676,189,350,1,22,1
3,AusvsNZ,18-06-2021,10213,5,16.5,3,16 to 20,4,17 to 20,1,,1,0,0,0,0,Glenn Phillips,1,1,0,127,1126,310,250,1,23,1
3,AusvsNZ,18-06-2021,10213,5,16.6,3,16 to 20,4,17 to 20,2,,0,1,0,0,0,Kane Williamson,1,1,0,98,784,216,317,1,11,1
3,AusvsNZ,18-06-2021,10213,5,17.1,3,16 to 20,4,17 to 20,0,1,0,0,0,0,0,Glenn Phillips,1,1,0,122,574,276,317,1,19,1
